Symbol,Name,Exchange,Latest,"14D Rel Str","200D Avg Vol","52W %Chg","Wtd Alpha","200D MA","20D MA","5D MA",Signal,"Signal %"
ABX,"Abacus Global Management Inc",NYSE,8.98,47.19,815883,+17.12%,+26.79,6.86,9.51,9.67,Buy,88%
ATEN,"A10 Networks Inc",NYSE,21.91,71.3,743708,+24.18%,+36.01,18.25,20.38,21.3,Buy,100%
ATO,"Atmos Energy Corp",NYSE,184.91,59.07,1022752,+22.92%,+25.05,168.15,185.06,186.79,Buy,100%
AVBP,"Arrivent Biopharma Inc",NASDAQ,22.9,46.96,396132,+17.63%,+20.39,21.2,23.93,23.62,Buy,88%
BNL,"Broadstone Net Lease Inc Cl A",NYSE,19.33,54.07,1693833,+12.35%,+17.64,17.8,19.23,19.48,Buy,100%
BRX,"Brixmor Property Group Inc",NYSE,29.52,52.18,2513178,+13.51%,+18.33,26.92,30.01,29.69,Buy,88%
BURL,"Burlington Stores Inc",NYSE,312.37,55.09,958822,+27.74%,+34.54,276.59,305.73,304.13,Buy,96%
CDP,"Copt Defense Properties",NYSE,31.69,49.85,983759,+17.41%,+19.62,29.34,32.09,31.79,Buy,88%
CFLT,"Confluent Inc Cl A",NASDAQ,30.99,73.35,10219712,+17.56%,+50.61,24.82,30.72,30.76,Buy,100%
CHRD,"Chord Energy Corp",NASDAQ,130.2,75.69,821194,+17.48%,+38.62,100.45,117.07,127.6,Buy,88%
CNP,"Centerpoint Energy Inc",NYSE,43.16,55.64,5164378,+20.57%,+22.68,38.91,43.37,43.65,Buy,88%
CNX,"CNX Resources Corp",NYSE,40.79,52.55,2062648,+26.29%,+34.80,34.69,40.86,41.6,Buy,100%
COP,Conocophillips,NYSE,125.67,73.59,7596889,+23.68%,+39.50,96.4,116.75,123.01,Buy,100%
CSCO,"Cisco Systems Inc",NASDAQ,78.44,50.3,20953244,+28.81%,+29.30,72.54,78.61,78.57,Buy,88%
CTRA,"Coterra Energy Inc",NYSE,33.84,71.58,8684487,+15.77%,+34.30,26.02,31.4,32.96,Buy,100%
CTVA,"Corteva Inc",NYSE,78.16,54.91,4207312,+25.74%,+28.94,70.54,78.38,79.24,Buy,88%
