Symbol,Name,Exchange,Latest,"200D Avg Vol",Signal,"Signal %","50D MA %Chg","50D RelVol","200D MA","5D Range%","14D Rel Str"
ALLW,"SPDR Bridgewater All Weather ETF",NASDAQ,29.35,434155,Buy,80%,0.13%,1.76,27.77,28.36%,48.47
CGAU,"Centerra Gold Inc",NYSE,18.28,1552734,Buy,80%,0.44%,1.69,11.85,39.21%,47.7
GSL,"Global Ship Lease Inc",NYSE,37.82,361440,Buy,80%,0.15%,1.21,32.17,26.94%,45.78
HAFN,"Hafnia Ltd",NYSE,6.74,1314680,Buy,80%,0.44%,1.58,5.94,20.56%,42.94
HAL,"Halliburton Company",NYSE,34.16,13584774,Buy,88%,0.35%,1.34,26.32,20.09%,47.94
HOLX,"Hologic Inc",NASDAQ,75.15,2692790,Buy,80%,0.02%,3.52,70.46,26.09%,44.93
MDU,"Mdu Res Group Inc",NYSE,20.61,2048584,Buy,88%,0.11%,1.47,18.59,7.60%,48.5
MEOH,"Methanex Corp",NASDAQ,50.5,595073,Buy,88%,0.44%,2.09,39.22,10.98%,49.74
NSSC,"Napco Sec Tech Inc",NASDAQ,42.84,426234,Buy,80%,0.05%,1.31,38.25,52.81%,48.34
SCHD,"Schwab US Dividend Equity ETF","NYSE Arca",30.87,18372043,Buy,80%,0.23%,1.31,27.92,30.34%,47.91
SCHH,"Schwab U.S. REIT ETF","NYSE Arca",22.43,8898507,Buy,80%,0.14%,1.5,21.45,44.35%,49.8
"Downloaded from Barchart.com as of 03-17-2026 05:14am CDT"
